#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Dec 31 17:22:51 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       ALU_map.ncd
#OUTPUT FILE:      ALU_pad.csv
#PART TYPE:        xc6slx75
#SPEED GRADE:      -3
#PACKAGE:          csg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
K8,ALUAddr<17>,IOB,IO_L59P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,,GND,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.2,,,,
K14,,,GND,,,,,,,,,,,,
K15,,,VCCAUX,,,,,,,,2.5,,,,
K16,DataIO<22>,IOB,IO_L28N_VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K17,SetSP<12>,IOB,IO_L40N_GCLK10_M1A6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K18,SetSP<3>,IOB,IO_L36P_A9_M1BA0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K19,SetSP<4>,IOB,IO_L36N_A8_M1BA1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K20,SetSP<16>,IOB,IO_L42N_GCLK6_TRDY1_M1LDM_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K21,SetSP<19>,IOB,IO_L44P_A3_M1DQ6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K22,SetSP<20>,IOB,IO_L44N_A2_M1DQ7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L1,ALU_Sel<2>,IOB,IO_L39N_M3LDQSN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L2,,,VCCO_3,,,3,,,,,2.50,,,,
L3,SPAddr<20>,IOB,IO_L39P_M3LDQS_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L4,SetAP<2>,IOB,IO_L47N_M3A1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L5,,,GND,,,,,,,,,,,,
L6,SPAddr<5>,IOB,IO_L31N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,VCCAUX,,,,,,,,2.5,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,DataIO<21>,IOB,IO_L28P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L16,,,VCCO_1,,,1,,,,,2.50,,,,
L17,SetSP<11>,IOB,IO_L40P_GCLK11_M1A5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L18,,,GND,,,,,,,,,,,,
L19,SetSP<15>,IOB,IO_L42P_GCLK7_M1UDM_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L20,SetSP<17>,IOB,IO_L43P_GCLK5_M1DQ4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L21,,,VCCO_1,,,1,,,,,2.50,,,,
L22,SetSP<18>,IOB,IO_L43N_GCLK4_M1DQ5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M1,ALU_Sel<4>,IOB,IO_L38N_M3DQ3_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M2,ALU_Sel<0>,IOB,IO_L38P_M3DQ2_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M3,SetAP<1>,IOB,IO_L45N_M3ODT_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M4,SPAddr<22>,IOB,IO_L45P_M3A3_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M5,SPAddr<29>,IOB,IO_L47P_M3A0_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M6,SPAddr<4>,IOB,IO_L31P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M7,SPAddr<1>,IOB,IO_L25N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M8,SPAddr<0>,IOB,IO_L25P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M9,,,VCCINT,,,,,,,,1.2,,,,
M10,,,GND,,,,,,,,,,,,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,GND,,,,,,,,,,,,
M15,,,VCCAUX,,,,,,,,2.5,,,,
M16,A<7>,IOB,IO_L58P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M17,A<6>,IOB,IO_L58N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M18,SetSP<13>,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M19,SetSP<14>,IOB,IO_L41N_GCLK8_M1CASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M20,SetSP<24>,IOB,IO_L46N_FOE_B_M1DQ3_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M21,SetSP<21>,IOB,IO_L45P_A1_M1LDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M22,SetSP<22>,IOB,IO_L45N_A0_M1LDQSN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N1,SPAddr<17>,IOB,IO_L37N_M3DQ1_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N2,,,GND,,,,,,,,,,,,
N3,SPAddr<16>,IOB,IO_L37P_M3DQ0_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N4,SPAddr<25>,IOB,IO_L43P_GCLK23_M3RASN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N5,,,VCCO_3,,,3,,,,,2.50,,,,
N6,B<29>,IOB,IO_L24N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N7,B<30>,IOB,IO_L24P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N8,,,VCCAUX,,,,,,,,2.5,,,,
N9,,,GND,,,,,,,,,,,,
N10,,,VCCINT,,,,,,,,1.2,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,
N15,A<8>,IOB,IO_L60P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N16,A<12>,IOB,IO_L60N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N17,,,GND,,,,,,,,,,,,
N18,,,VCCO_1,,,1,,,,,2.50,,,,
N19,SetSP<23>,IOB,IO_L46P_FCS_B_M1DQ2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N20,SetSP<25>,IOB,IO_L47P_FWE_B_M1DQ0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N21,,,GND,,,,,,,,,,,,
N22,SetSP<26>,IOB,IO_L47N_LDC_M1DQ1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P1,SPAddr<15>,IOB,IO_L36N_M3DQ9_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P2,SPAddr<14>,IOB,IO_L36P_M3DQ8_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P3,SPAddr<19>,IOB,IO_L43N_GCLK22_IRDY2_M3CASN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P4,B<24>,IOB,IO_L21P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P5,B<27>,IOB,IO_L22N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P6,B<26>,IOB,IO_L22P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P7,B<31>,IOB,IO_L23N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P8,B<28>,IOB,IO_L23P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P9,,,VCCINT,,,,,,,,1.2,,,,
P10,,,GND,,,,,,,,,,,,
P11,,,VCCINT,,,,,,,,1.2,,,,
P12,,,GND,,,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,,GND,,,,,,,,,,,,
P15,A<10>,IOB,IO_L62P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P16,A<11>,IOB,IO_L62N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P17,A<23>,IOB,IO_L66P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P18,A<24>,IOB,IO_L66N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P19,A<19>,IOB,IO_L64P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P20,A<20>,IOB,IO_L64N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P21,SetSP<27>,IOB,IO_L48P_HDC_M1DQ8_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P22,SetSP<28>,IOB,IO_L48N_M1DQ9_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R1,SPAddr<13>,IOB,IO_L35N_M3DQ11_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R2,,,VCCO_3,,,3,,,,,2.50,,,,
R3,SPAddr<12>,IOB,IO_L35P_M3DQ10_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R4,B<25>,IOB,IO_L21N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R5,,,GND,,,,,,,,,,,,
R6,,,VCCAUX,,,,,,,,2.5,,,,
R7,B<13>,IOB,IO_L11N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R8,B<21>,IOB,IO_L19N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R9,B<20>,IOB,IO_L19P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R10,,,VCCAUX,,,,,,,,2.5,,,,
R11,,,NC,,,,,,,,,,,,
R12,,,VCCAUX,,,,,,,,2.5,,,,
R13,PCSet<10>,IOB,IO_L33P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
R14,,,VCCINT,,,,,,,,1.2,,,,
R15,A<27>,IOB,IO_L68P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R16,A<28>,IOB,IO_L68N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R17,A<29>,IOB,IO_L70P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R18,,,GND,,,,,,,,,,,,
R19,A<30>,IOB,IO_L70N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R20,SetSP<29>,IOB,IO_L49P_M1DQ10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R21,,,VCCO_1,,,1,,,,,2.50,,,,
R22,SetSP<30>,IOB,IO_L49N_M1DQ11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T1,SPAddr<11>,IOB,IO_L34N_M3UDQSN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T2,SPAddr<10>,IOB,IO_L34P_M3UDQS_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T3,SPAddr<3>,IOB,IO_L26N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T4,SPAddr<2>,IOB,IO_L26P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T5,B<23>,IOB,IO_L20N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T6,B<22>,IOB,IO_L20P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T7,B<11>,IOB,IO_L10N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T8,B<12>,IOB,IO_L11P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T9,,,VCCO_2,,,2,,,,,2.50,,,,
T10,,,NC,,,,,,,,,,,,
T11,,,NC,,,,,,,,,,,,
T12,PCSet<12>,IOB,IO_L34P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,PCSet<0>,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
T15,,,CMPCS_B_2,,,,,,,,,,,,
T16,,,RFUSE,,,,,,,,,,,,
T17,DecoderData<1>,IOB,IO_L72P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T18,DecoderData<2>,IOB,IO_L72N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T19,DecoderData<5>,IOB,IO_L74P_AWAKE_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T20,DecoderData<4>,IOB,IO_L74N_DOUT_BUSY_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T21,SetSP<31>,IOB,IO_L50P_M1UDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T22,A<0>,IOB,IO_L50N_M1UDQSN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
U1,SPAddr<9>,IOB,IO_L33N_M3DQ13_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U2,,,GND,,,,,,,,,,,,
U3,SPAddr<8>,IOB,IO_L33P_M3DQ12_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U4,B<18>,IOB,IO_L18P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U5,,,VCCO_3,,,3,,,,,2.50,,,,
U6,B<16>,IOB,IO_L13P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U7,,,GND,,,,,,,,,,,,
U8,B<10>,IOB,IO_L10P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U9,,,NC,,,,,,,,,,,,
U10,,,NC,,,,,,,,,,,,
U11,,,VCCAUX,,,,,,,,2.5,,,,
U12,PCSet<13>,IOB,IO_L34N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
U13,PCSet<11>,IOB,IO_L33N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
U14,PCSet<1>,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
U15,DecoderData<19>,IOB,IO_L13P_M1_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U16,,,DONE_2,,,,,,,,,,,,
U17,,,VBATT,,,,,,,,,,,,
U18,,,VCCO_1,,,1,,,,,2.50,,,,
U19,,,VFS,,,,,,,,,,,,
U20,A<1>,IOB,IO_L51P_M1DQ12_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
U21,,,GND,,,,,,,,,,,,
U22,A<2>,IOB,IO_L51N_M1DQ13_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
V1,SPAddr<7>,IOB,IO_L32N_M3DQ15_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
V2,SPAddr<6>,IOB,IO_L32P_M3DQ14_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
V3,B<19>,IOB,IO_L18N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
V4,,,GND,,,,,,,,,,,,
V5,B<17>,IOB,IO_L13N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
V6,,,VCCAUX,,,,,,,,2.5,,,,
V7,,,NC,,,,,,,,,,,,
V8,,,VCCO_2,,,2,,,,,2.50,,,,
V9,,,NC,,,,,,,,,,,,
V10,,,GND,,,,,,,,,,,,
V11,,,NC,,,,,,,,,,,,
V12,,,VCCO_2,,,2,,,,,2.50,,,,
V13,DecoderData<17>,IOB,IO_L12P_D1_MISO2_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V14,,,GND,,,,,,,,,,,,
V15,DecoderData<20>,IOB,IO_L13N_D10_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V16,,,VCCO_2,,,2,,,,,2.50,,,,
V17,DecoderData<3>,IOB,IO_L73P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
V18,DecoderData<0>,IOB,IO_L73N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
V19,A<31>,IOB,IO_L71P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
V20,DecoderData<6>,IOB,IO_L71N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
V21,A<3>,IOB,IO_L52P_M1DQ14_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
V22,A<4>,IOB,IO_L52N_M1DQ15_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
W1,B<9>,IOB,IO_L9N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
W2,,,VCCO_3,,,3,,,,,2.50,,,,
W3,B<8>,IOB,IO_L9P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
W4,B<4>,IOB,IO_L7P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
W5,,,VCCO_3,,,3,,,,,2.50,,,,
W6,PCSet<24>,IOB,IO_L62P_D5_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W7,,,GND,,,,,,,,,,,,
W8,,,NC,,,,,,,,,,,,
W9,PCSet<18>,IOB,IO_L47P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W10,,,NC,,,,,,,,,,,,
W11,PCSet<2>,IOB,IO_L29P_GCLK3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W12,PCSet<16>,IOB,IO_L42P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W13,DecoderData<18>,IOB,IO_L12N_D2_MISO3_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W14,MenagePC<1>,IOB,IO_L16P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W15,DecoderData<21>,IOB,IO_L14P_D11_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W16,,,GND,,,,,,,,,,,,
W17,DecoderData<7>,IOB,IO_L1P_CCLK_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
W18,,,SUSPEND,,,,,,,,,,,,
W19,,,GND,,,,,,,,,,,,
W20,A<5>,IOB,IO_L53P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
W21,,,VCCO_1,,,1,,,,,2.50,,,,
W22,A<16>,IOB,IO_L53N_VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
Y1,B<3>,IOB,IO_L2N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
Y2,B<2>,IOB,IO_L2P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
Y3,B<6>,IOB,IO_L8P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
Y4,B<5>,IOB,IO_L7N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
Y5,PCSet<30>,IOB,IO_L65P_INIT_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y6,PCSet<25>,IOB,IO_L62N_D6_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y7,PCSet<26>,IOB,IO_L63P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y8,PCSet<19>,IOB,IO_L47N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y9,PCSet<20>,IOB,IO_L48P_D7_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y10,PCSet<3>,IOB,IO_L29N_GCLK2_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y11,PCSet<6>,IOB,IO_L31P_GCLK31_D14_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y12,PCSet<17>,IOB,IO_L42N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y13,PCSet<14>,IOB,IO_L41P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y14,MenagePC<2>,IOB,IO_L16N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y15,DecoderData<15>,IOB,IO_L5P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y16,DecoderData<22>,IOB,IO_L14N_D12_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y17,DecoderData<11>,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y18,DecoderData<8>,IOB,IO_L1N_M0_CMPMISO_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
Y19,A<25>,IOB,IO_L67P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
Y20,A<26>,IOB,IO_L67N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
Y21,A<9>,IOB,IO_L59P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
Y22,A<15>,IOB,IO_L59N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
